1
100,0,1.1,1,1,395,353,1
100,0,1,1.03,1,606,424,0
81,0,0.9,1.07,1,290,192,2
123,0,1,0.8,1,335,300,1
109,0,1.1,1.04,1,378,378,2
87,0,1.1,1,1,302,63,0
62,0,1,1.12,1,452,65,1
128,0,0.9,0.82,1,84,486,1
68,0,1.1,0.94,1,427,327,1
94,0,0.9,0.92,1,611,476,2
64,0,1.4,1.17,1,820,201,0
85,0,1.2,1.08,1,551,176,1
82,0,1.1,0.9,1,755,432,2
74,0,1.4,1.05,1,606,261,2
121,0,1.1,1.17,1,755,301,2
97,0,1.3,0.98,1,193,154,2
82,0,1.4,1.07,1,309,265,2
75,0,1.1,1,1,85,274,2
61,0,1.4,0.88,1,205,402,1
140,0,1,1.1,1,68,226,1
112,0,1.1,1.11,1,509,398,0
114,0,0.8,0.84,1,185,326,0
109,0,0.9,0.97,1,663,100,0
90,0,1,1.03,1,759,464,2
83,0,1.1,0.9,1,228,448,1
90,0,1.4,0.82,1,87,150,0
117,0,1.4,1.01,1,64,174,1
74,0,1.1,0.82,1,282,104,2
104,0,1.1,0.88,1,373,231,2
93,0,1.1,0.94,1,209,534,0
130,0,0.9,0.91,1,565,542,1
67,0,1,0.9,1,164,289,0
77,0,1.3,1.2,1,165,306,2
92,0,1.4,0.99,1,746,165,2
102,0,1,0.91,1,749,109,1
88,0,1,0.93,1,68,109,0
128,0,1.4,1.1,1,698,363,2
117,0,1.4,1.09,1,597,256,0
74,0,1.2,0.9,1,118,398,2
129,0,1.3,1.01,1,775,482,0
135,0,1.1,1.06,1,372,437,1
84,0,1.4,0.81,1,368,382,2
78,0,1,0.96,1,602,531,2
126,0,1.3,1.06,1,442,94,1
73,0,1.2,1.16,1,202,230,0
100,0,1,1.13,1,282,366,1
95,0,1.4,1.01,1,74,451,2
105,0,0.8,0.85,1,600,374,2
135,0,1,1.18,1,198,527,0
104,0,0.8,0.91,1,501,295,0
104,0,1,0.86,1,66,312,1
128,0,0.8,1.19,1,96,504,2
